timestamp, frame, x, y, z, qx, qy, qz, qw
258532.630480625, 000258, -0.49251634, 0.27670372, -1.2994492, 0.9914825, -0.000583399, -0.12729473, 0.027535155
258532.647148541, 000259, -0.4936846, 0.27766633, -1.3080695, 0.9915816, -0.0006311146, -0.12653568, 0.027461313
258532.6638165, 000260, -0.4946559, 0.27900308, -1.3159438, 0.9915795, -0.0006065966, -0.12651074, 0.027653763
258532.680484541, 000261, -0.49562573, 0.28033686, -1.3235747, 0.99148875, -0.00055659655, -0.12715752, 0.027939156
258532.697152458, 000262, -0.49679154, 0.28132617, -1.3314285, 0.9913413, -0.0003571979, -0.12823504, 0.028250221
258532.713820416, 000263, -0.49807918, 0.28213692, -1.3392978, 0.99113417, -2.3570148e-05, -0.12970136, 0.028818294
258532.730488625, 000264, -0.49947375, 0.28281748, -1.3471277, 0.99087054, 0.00037450567, -0.13151354, 0.029656809
258532.747156333, 000265, -0.50103074, 0.2831571, -1.3541586, 0.9906081, 0.0005247724, -0.13335909, 0.03017645
258532.76382425, 000266, -0.50263405, 0.28360355, -1.3615576, 0.99042195, 0.0004883466, -0.13468878, 0.030380797
258532.780492416, 000267, -0.50433624, 0.28399253, -1.3690267, 0.9903278, 0.000504505, -0.13531615, 0.03066062
258532.797160166, 000268, -0.5061571, 0.28424957, -1.3764863, 0.9902981, 0.0005180659, -0.13545707, 0.030995566
258532.813828208, 000269, -0.5081123, 0.28436077, -1.3839575, 0.9902793, 0.0005735199, -0.1354431, 0.031650145
258532.830496166, 000270, -0.51020527, 0.28434908, -1.3914486, 0.99025893, 0.00070849253, -0.13539627, 0.032472745
258532.847164041, 000271, -0.51242274, 0.2842279, -1.3989203, 0.9902624, 0.0007286206, -0.13537572, 0.03245223
258532.863832291, 000272, -0.5142819, 0.28427988, -1.4054554, 0.9902631, 0.0007345328, -0.1353787, 0.032419063
258532.880500083, 000273, -0.5166496, 0.283912, -1.4126601, 0.9902214, 0.0010456188, -0.13545865, 0.033336762
258532.897168041, 000274, -0.5193072, 0.28331244, -1.4201212, 0.9901461, 0.001625087, -0.13564089, 0.03477781
258532.913835958, 000275, -0.52219063, 0.28256503, -1.4277288, 0.9900758, 0.0023604585, -0.13572557, 0.03636908
258532.930503958, 000276, -0.5252518, 0.28174162, -1.4354185, 0.9900487, 0.0028643536, -0.13562505, 0.03743222
258532.947171916, 000277, -0.5284864, 0.2808627, -1.4431714, 0.9900647, 0.00315775, -0.13530451, 0.03813776
258532.96383975, 000278, -0.53187776, 0.27995318, -1.4503809, 0.9900934, 0.003373609, -0.13490835, 0.0387728
258532.980507875, 000279, -0.53542787, 0.2789626, -1.4580214, 0.99008864, 0.0036479463, -0.1345672, 0.040034227
258532.997175916, 000280, -0.53911746, 0.27791333, -1.465849, 0.99007297, 0.0039726947, -0.13419355, 0.041614734
258533.013843833, 000281, -0.5429343, 0.27681357, -1.4737625, 0.99005705, 0.004309736, -0.13382064, 0.043133464
258533.03051175, 000282, -0.546878, 0.27567488, -1.4816931, 0.9900589, 0.004493396, -0.13348824, 0.044090424
258533.047179625, 000283, -0.5509584, 0.27448872, -1.4896029, 0.9900924, 0.0044775708, -0.13309203, 0.044535935
258533.063847666, 000284, -0.55591947, 0.274134, -1.4979757, 0.9901487, 0.0043590516, -0.13254754, 0.044917766
258533.080515541, 000285, -0.56054527, 0.27317724, -1.5060273, 0.99021286, 0.004041552, -0.13192885, 0.045351904
258533.097183458, 000286, -0.56516635, 0.27202708, -1.5139819, 0.99026984, 0.0035979543, -0.13126586, 0.04606343
258533.1138515, 000287, -0.5698616, 0.27085438, -1.5219039, 0.9902924, 0.0031229868, -0.13084751, 0.046798173
258533.130519625, 000288, -0.57464606, 0.2696758, -1.5297619, 0.99030954, 0.0026744604, -0.13065884, 0.046990104
258533.147187416, 000289, -0.57953715, 0.2684328, -1.5375288, 0.9903659, 0.0023402397, -0.1303219, 0.046754956
258533.163855416, 000290, -0.5842117, 0.26773813, -1.5453876, 0.9904178, 0.002266197, -0.12990318, 0.046825252
258533.180523333, 000291, -0.5892249, 0.2666166, -1.5531031, 0.9904505, 0.0025159745, -0.12945184, 0.047367953
258533.19719125, 000292, -0.5944131, 0.26542187, -1.5607114, 0.99050367, 0.002795092, -0.12901458, 0.04743263
258533.213859208, 000293, -0.599721, 0.2642709, -1.5681955, 0.9905607, 0.0030814183, -0.12885153, 0.046661507
258533.230527291, 000294, -0.6051318, 0.26316738, -1.5755256, 0.99060214, 0.0033972394, -0.12903595, 0.04522776
258533.247195125, 000295, -0.61062235, 0.2621144, -1.5827187, 0.9906057, 0.003691677, -0.12949029, 0.04380603
258533.263863166, 000296, -0.61618096, 0.26119798, -1.5898145, 0.9906056, 0.0037124623, -0.1299819, 0.042325776
258533.280530958, 000297, -0.6204591, 0.260516, -1.5954885, 0.99059486, 0.0032006172, -0.13054673, 0.040854268
258533.297199041, 000298, -0.62567794, 0.26001593, -1.602016, 0.9905866, 0.002371347, -0.13094921, 0.039810557
258533.313866958, 000299, -0.63118577, 0.2597308, -1.6088097, 0.9905778, 0.0013243016, -0.13112979, 0.03948153
258533.330534916, 000300, -0.63674575, 0.25975347, -1.6157202, 0.9907012, 3.416874e-05, -0.13032801, 0.039060473
258533.347202791, 000301, -0.6412812, 0.26012278, -1.621588, 0.99101144, -0.0014320916, -0.12816727, 0.03830638
258533.363870958, 000302, -0.64642143, 0.26086918, -1.6282306, 0.9913477, -0.0025366717, -0.12556873, 0.03815462
258533.38053875, 000303, -0.6517475, 0.26190954, -1.6351423, 0.991598, -0.0031859716, -0.12329802, 0.038997855
258533.397206666, 000304, -0.65708023, 0.26323166, -1.6422017, 0.9918225, -0.0037378087, -0.12117264, 0.039890375
258533.413874625, 000305, -0.66234493, 0.2647864, -1.6493819, 0.992079, -0.0043072524, -0.11889688, 0.040301595
258533.430542666, 000306, -0.66750646, 0.26648873, -1.656629, 0.9923475, -0.0047382163, -0.11672221, 0.039999228
258533.447210541, 000307, -0.6725228, 0.26834035, -1.6638726, 0.99259955, -0.0051792157, -0.114898436, 0.038955886
258533.46387875, 000308, -0.67765707, 0.26970875, -1.671401, 0.9928491, -0.0057832208, -0.113323845, 0.037079737
258533.480546375, 000309, -0.6826486, 0.27108708, -1.6787462, 0.993079, -0.0063264687, -0.11189706, 0.03511564
258533.497214708, 000310, -0.68737483, 0.27270788, -1.6856934, 0.99325526, -0.006976038, -0.11074185, 0.03363695
258533.513882375, 000311, -0.6919504, 0.27426976, -1.6923981, 0.9933659, -0.007628697, -0.109910466, 0.032948952
258533.530550291, 000312, -0.69637567, 0.27572325, -1.6989022, 0.99348485, -0.008295788, -0.10893897, 0.032421757
258533.547218291, 000313, -0.7006431, 0.2770756, -1.7052542, 0.99364746, -0.008875465, -0.10761658, 0.031694673
258533.56388625, 000314, -0.7045379, 0.2779143, -1.711084, 0.99383897, -0.009342058, -0.1060539, 0.030813634
258533.58055425, 000315, -0.7082217, 0.2785244, -1.7167404, 0.9940373, -0.009645836, -0.10440414, 0.029944452
258533.597222166, 000316, -0.71196914, 0.27942237, -1.7227097, 0.99422, -0.00969713, -0.102869436, 0.029160738
258533.613890083, 000317, -0.7156507, 0.2804361, -1.728728, 0.9943363, -0.009507383, -0.10197939, 0.028373165
258533.63055825, 000318, -0.7192224, 0.2815407, -1.7347423, 0.9943788, -0.009296799, -0.101836644, 0.02745266
258533.647226, 000319, -0.7226847, 0.28268486, -1.7408108, 0.9943982, -0.009110237, -0.10196522, 0.026312834
